ENTRYTYPE,ID,abstract,author,doi,eprint,journal,number,pages,title,url,volume,year,note
article,doi:10.1177/0735633120945935,"Block-based visual programming tools, such as Scratch, Alice, and MIT App Inventor, provide an intuitive and easy-to-use editing interface through which to promote programming learning for novice students of various ages. However, very little attention has been paid to investigating these tools’ overall effects on students’ academic achievement and the study features that may moderate the effects of block-based visual programming from a comprehensive perspective. Thus, the present study carried out a meta-analysis to systemically examine 29 empirical studies (extracting 34 effect sizes) using experimental or quasi-experiments involving the programming learning effects of employing block-based visual programming tools to date (until the end of 2019). The results showed a small to medium significant positive overall mean effect size (fixed-effect model g = 0.37; random-effects model g = 0.47) of the use of these block-based visual programming tools with respect to students’ academic achievement. Furthermore, the overall mean effect size was significantly affected by the educational stage, programming tool used, experimental treatment, and school location. Discussions and implications based on the findings are provided.",Yue Hu and Cheng-Huan Chen and Chien-Yuan Su,10.1177/0735633120945935,https://doi-org.crai.referencistas.com/10.1177/0735633120945935,Journal of Educational Computing Research,8,1467–1493,Exploring the Effectiveness and Moderators of Block-Based Visual Programming on Student Learning: A Meta-Analysis,https://doi-org.crai.referencistas.com/10.1177/0735633120945935,58,2021b,
article,doi:10.1177/2378023119849803,"Reproducibility is fundamental to science, and an important component of reproducibility is computational reproducibility: the ability of a researcher to recreate the results of a published study using the original author’s raw data and code. Although most people agree that computational reproducibility is important, it is still difficult to achieve in practice. In this article, the authors describe their approach to enabling computational reproducibility for the 12 articles in this special issue of Socius about the Fragile Families Challenge. The approach draws on two tools commonly used by professional software engineers but not widely used by academic researchers: software containers (e.g., Docker) and cloud computing (e.g., Amazon Web Services). These tools made it possible to standardize the computing environment around each submission, which will ease computational reproducibility both today and in the future. Drawing on their successes and struggles, the authors conclude with recommendations to researchers and journals.",David M. Liu and Matthew J. Salganik,10.1177/2378023119849803,https://doi-org.crai.referencistas.com/10.1177/2378023119849803,Socius, ,2378023119849803,Successes and Struggles with Computational Reproducibility: Lessons from the Fragile Families Challenge,https://doi-org.crai.referencistas.com/10.1177/2378023119849803,5,2019c,
article,doi:10.1179/030801803225010340,"Much debate has taken place on Joseph Needham’s question regarding ‘the failure of China and India to give rise to distinctively modern science while being ahead of Europe for fourteen previous centuries’. It is argued in this paper that while there is probably some truth in many of the sociocultural explanations that have been offered for the failure in India, they are in the final analysis not entirely convincing. The proposal in this paper is in two parts. The first is that the scientific revolution, which was part of a European miracle, was triggered in part by the advent of a variety of technologies from China and the new numeral system and other mathematical inventions from India - both via creative West Asian intermediaries. India had experienced a mathematical (more specifically algoristic or computational) revolution heralded by Ārya-bhata in the fifth century CE. The new computational power unleashed by this revolution combined with the classical Greek penchant for axiomatised modelmaking and a technology empowered experimental philosophy, in what appears to have been a very creative and uniquely European cultural fusion that led to the scientific (and later the industrial) revolution. The second part of the proposal is that there was an epistemological reason why the Indian mathematical revolution did not lead to a corresponding ‘distinctively modern’ scientific one. The Indic approach was basically not that of modelmakers but of ingenious algorisers, and showed a deep and studied distrust of axioms and physical models. This led to an attitude described here as ‘computational positivism’, which considers observation and computation as the only things that matter. In retrospect, that distrust appears not unjustified, especially in the light of twentieth century developments in quantum and classical mechanics and in logic; but it was historically expensive for India, as Europe achieved unreasonably and unexpectedly spectacular successes in science. To the Indians, it was Newton who was the extraordinary epistemological revolutionary, not Heisenberg or Gödel. In summary, Indian science could not move forward without the modelmaking and technology enabled experimental abilities that grew in the West, just as European modelmaking had earlier been unable to progress without the advent of powerful technologies and computational tools whose roots can be traced to China and India.",Roddam Narasimha,10.1179/030801803225010340,https://doi-org.crai.referencistas.com/10.1179/030801803225010340,Interdisciplinary Science Reviews,1,54–66,"The Indian half of Needham’s question: some thoughts on axioms, models, algorithms, and computational positivism",https://doi-org.crai.referencistas.com/10.1179/030801803225010340,28,2003d,
article,doi:10.1177/0002716215569446,"Methods for analyzing neural and computational social science data are usually used by different types of scientists and generally seen as distinct, but they strongly complement one another. Computational social science methodologies can strengthen and contextualize individual-level analysis, specifically our understanding of the brain. Neuroscience can help to unpack the mechanisms that lead from micro- through meso- to macro-level observations. Integrating levels of analysis is essential to unified progress in social research. We present two example areas that illustrate this integration. First, combining egocentric social network data with neural variables from the “egos” provides insight about why and for whom certain types of antismoking messages may be more or less effective. Second, combining tools from natural language processing with neuroimaging reveals mechanisms involved in successful message propagation, and suggests links from microscopic to macroscopic scales.",Matthew Brook O’Donnell and Emily B. Falk,10.1177/0002716215569446,https://doi-org.crai.referencistas.com/10.1177/0002716215569446,The ANNALS of the American Academy of Political and Social Science,1,274–289,Big Data under the Microscope and Brains in Social Context: Integrating Methods from Computational Social Science and Neuroscience,https://doi-org.crai.referencistas.com/10.1177/0002716215569446,659,2015e,
article,doi:10.1177/1086296X231202722,"This study focused on the digital design practices of Raul, a 15-year-old participant at a summer video game design camp for adolescents. As Raul developed his original game, You Will Perish, I wondered what his design process might reveal about (a) the practice of affectively and procedurally literate video game design and (b) the literacy pedagogies that can support such design. Guided by the concept of serendipity, I describe Raul’s design practice as an open process characterized by bouts of failure, chance, and discovery, and I examine how such forces shaped the emergence of his game. Using transversal analysis, I trace Raul’s design through an account of frustration and failure, perseverance and pride, showing how the challenges of the game’s creator become those of the game’s players. The study highlights the generative potential of serendipitous literacies wherever and whenever literacy happens.",Bradley Robinson,10.1177/1086296X231202722,https://doi-org.crai.referencistas.com/10.1177/1086296X231202722,Journal of Literacy Research,3,275–301,You Will Perish: A Case Study of Serendipitous Literacies and Novice Video Game Design,https://doi-org.crai.referencistas.com/10.1177/1086296X231202722,55,2023f,
article,doi:10.1177/2167702614565359,"Psychiatric research is in crisis. We highlight efforts to overcome current challenges by focusing on the emerging field of computational psychiatry, which might enable the field to move from a symptom-based description of mental illness to descriptors based on objective computational multidimensional functional variables. We survey recent efforts toward this goal and describe a set of methods that together form a toolbox to aid this research program. We identify four levels in computational psychiatry: (a) behavioral tasks that index various psychological processes, (b) computational models that identify the generative psychological processes, (c) parameter-estimation methods concerned with quantitatively fitting these models to subject behavior by focusing on hierarchical Bayesian estimation as a rich framework with many desirable properties, and (d) machine-learning clustering methods that identify clinically significant conditions and subgroups of individuals. As a proof of principle, we apply these methods to two different data sets. Finally, we highlight challenges for future research.",Thomas V. Wiecki and Jeffrey Poland and Michael J. Frank,10.1177/2167702614565359,https://doi-org.crai.referencistas.com/10.1177/2167702614565359,Clinical Psychological Science,3,378–399,Model-Based Cognitive Neuroscience Approaches to Computational Psychiatry: Clustering and Classification,https://doi-org.crai.referencistas.com/10.1177/2167702614565359,3,2015g,
article,doi:10.1177/0002716215570576,"To deal with ever-larger datasets, media scholars are increasingly using computational analytic methods. This article focuses on how the traditional (manual) approach to conducting a content analysis—a primary method in the study of media messages—is being reconfigured, assesses what is gained and lost in turning to computational solutions, and builds on a “hybrid” approach to content analysis. We argue that computational methods are most fruitful when variables are readily identifiable in texts and when source material is easily parsed. Manual methods, though, are most appropriate for complex variables and when source material is not well digitized. These modes can be effectively combined throughout the process of content analysis to facilitate expansive and powerful analyses that are reliable and meaningful.",Rodrigo Zamith and Seth C. Lewis,10.1177/0002716215570576,https://doi-org.crai.referencistas.com/10.1177/0002716215570576,The ANNALS of the American Academy of Political and Social Science,1,307–318,Content Analysis and the Algorithmic Coder: What Computational Social Science Means for Traditional Modes of Media Analysis,https://doi-org.crai.referencistas.com/10.1177/0002716215570576,659,2015h,
article,doi:10.1177/15485129211073612,"Insurgency conflicts pose significant challenges to societies globally. The increase of insurgency conflicts creates a need to understand how insurgencies arise, and to identify societal drivers of insurgencies or effective strategies to counter them. In this paper, we analyze the contributions of computational modeling methods for the analysis of insurgent conflicts. We formalize a specific literature-based analysis framework using the identified key factors and drivers, which enables the evaluation of specific models in this domain. Through a systematic literature search, we identify 64 computational models to apply our framework. We highlight the development and contributions of various methodologies through an in-depth analysis of 13 high-quality models. The evaluation of these computational models revealed promising directions and future topics to design specific simulation models for all identified factors. In addition, our analysis revealed specific pitfalls concerning validity issues for each of the modeling methods.",Koen van der Zwet and Ana I Barros and Tom M van Engers and Peter M A Sloot,10.1177/15485129211073612,https://doi-org.crai.referencistas.com/10.1177/15485129211073612,The Journal of Defense Modeling and Simulation,3,333–350,Promises and pitfalls of computational modelling for insurgency conflicts,https://doi-org.crai.referencistas.com/10.1177/15485129211073612,20,2023i,
article,doi:10.2190/EC.49.4.g,,,10.2190/EC.49.4.g,https://doi-org.crai.referencistas.com/10.2190/EC.49.4.g,Journal of Educational Computing Research,4,543–545,"Journal of Educational Computing Research Index—Contents of Volume 49, 2013",https://doi-org.crai.referencistas.com/10.2190/EC.49.4.g,49,2013j,
article,doi:10.1177/1475725716673004,,Steve Charlton and Karen Ryder and Jacqui Taylor,10.1177/1475725716673004,https://doi-org.crai.referencistas.com/10.1177/1475725716673004,Psychology Learning & Teaching,3,211–213,Editorial,https://doi-org.crai.referencistas.com/10.1177/1475725716673004,15,2016a,
article,doi:10.1177/07356331231201342,"Artificial intelligence (AI) has emerged as a prominent topic in K-12 education recently. However, pedagogical design has remained a major challenge, especially among young learners. Guided by the Zone of Proximal Development theory and AI education research literature, this design-based study proposes an analogy-based pedagogical approach to support AI teaching and learning in upper primary education. This pedagogical approach is centered on human–AI comparison, where humans are gradually shifted from an analogue to a contrast to make visible the attributes, mechanisms, and processes of AI. To evaluate its effectiveness, a quasi-experimental study with mixed methods was conducted. The quantitative comparison shows that the participants in the experimental group learning with the analogy-based pedagogical approach significantly outperformed their peers with the conventional direct instructional approach in all three dimensions of AI knowledge, skills, and ethical awareness. Qualitative analyses further reveal its pedagogical benefits, including demystifying AI through relatable and engaging learning, supporting student comprehension and skill mastery, and nurturing critical thinking and attitudes. The analogy-based approach contributes to the field of K-12 AI education with an age-appropriate, child-friendly pedagogical approach. Notably, AI education should prioritize teaching for student understanding, and AI should be recognized as an independent subject with interdisciplinary applications.",Yun Dai and Ziyan Lin and Ang Liu and Dan Dai and Wenlan Wang,10.1177/07356331231201342,https://doi-org.crai.referencistas.com/10.1177/07356331231201342,Journal of Educational Computing Research,8,159–186,Effect of an Analogy-Based Approach of Artificial Intelligence Pedagogy in Upper Primary Schools,https://doi-org.crai.referencistas.com/10.1177/07356331231201342,61,2024b,
article,doi:10.1037/a0032947,"This article describes PSI theory, which is a formalized computational architecture of human psychological processes. In contrast to other existing theories, PSI theory not only models cognitive, but also motivational and emotional processes and their interactions. The article starts with a brief overview of the theory showing the connections between its different parts. We then discuss the theory’s components in greater detail. Key constructs and processes are the five basic human needs, the satisfaction of needs using the cognitive system, including perception, schemas in memory, planning, and action. Furthermore, emotions are defined and the role of emotions in cognitive and motivational processes is elaborated, referring to a specific example. The neural basis of the PSI theory is also highlighted referring to the “quad structure,” to specific brain areas, and to thinking as scanning in a neural network. Finally, some evidence for the validity of the theory is provided.",Dietrich Dörner and C. Dominik Güss,10.1037/a0032947,https://doi-org.crai.referencistas.com/10.1037/a0032947,Review of General Psychology,3,297–317,"PSI: A Computational Architecture of Cognition, Motivation, and Emotion",https://doi-org.crai.referencistas.com/10.1037/a0032947,17,2013c,
article,doi:10.1177/0036850419873799c,,Walid El-Sharoud,10.1177/0036850419873799c,https://doi-org.crai.referencistas.com/10.1177/0036850419873799c,Science Progress,3,279–279,"Book Review: Hector J. Levesque, Thinking as computation",https://doi-org.crai.referencistas.com/10.1177/0036850419873799c,102,2019d,
article,doi:10.1177/0954410016660873,"Mass capture ratio of a hypersonic air intake is one of the most important performance parameters. However, no a priori estimate of its value exists for use in initial design exercise of a hypersonic vehicle. In the present work, an air intake of a non-axisymmetric scramjet engine, designed using stream thrust methodology, is studied using computational fluid dynamic techniques. A large amount of air mass flow rate is observed to spill from the sides, which is not accounted for in the initial design phase. In absence of even an approximate estimate of this spillage, computational fluid dynamic studies become the only available tool to evaluate the mass capture ratio. Simulations are also carried out with a side wall at the intake to stop spillage. Although mass capture ratio and static pressure at combustor entry improve, deterioration in other flow parameters such as static temperature, Mach number and total pressure is observed.",Afroz Javed and Debasis Chakraborty,10.1177/0954410016660873,https://doi-org.crai.referencistas.com/10.1177/0954410016660873,"Proceedings of the Institution of Mechanical Engineers, Part G: Journal of Aerospace Engineering",11,2111–2119,Evaluation of side spillage for a hypersonic air intake using computational fluid dynamic techniques,https://doi-org.crai.referencistas.com/10.1177/0954410016660873,231,2017e,
article,doi:10.1177/0306419019838880,"The University of Florida Department of Mechanical and Aerospace Engineering recently created a new senior technical elective in the field of computational fluid dynamics. The main objectives of the class are learning the process of computational fluid dynamics, skepticism, a course project that uses a popular commercial solver, and a course project that involves programming a simplified computational fluid dynamics code. The course covers introductory material, history, grid generation, numerics, equations of motion, boundary conditions, solvers, turbulence models, visualization, and a number of special topics. Skepticism is enforced throughout the course and forces students to justify the validity of their approach and question numerically generated results. Students in the class undertake a course project to predict a fundamental flow-field and compare predictions with excellent measurements from the open literature. They must also create a simplified computational fluid dynamics code to predict turbulent boundary layer flow. Students have integrated these lessons within student groups across the University of Florida. The emphasis of the course is on skepticism and increasing integration with the curriculum and student group activities. We present the class philosophy for teaching undergraduate computational fluid dynamics and the outcomes of the newly developed course.",Steven A E Miller,10.1177/0306419019838880,https://doi-org.crai.referencistas.com/10.1177/0306419019838880,International Journal of Mechanical Engineering Education,4,315–334,A contemporary course on the introduction to computational fluid dynamics,https://doi-org.crai.referencistas.com/10.1177/0306419019838880,48,2020f,
article,doi:10.1177/07356331241240047,"The use of a pedagogical approach mediated transfer with the bridging method has been successful in facilitating the transitions from block-based to text-based programming languages. Nevertheless, there is a lack of research addressing the impact of this transfer on programming misconceptions during the transition. The way programming concepts are taught to K-12 learners can later result in misconceptions for adult learners. The main objective was to examine the impact of mediated transfer using the bridging method pedagogical approach on the prevalence of programming misconceptions. We conducted a quasi-experimental study in school settings during informatics (computer science) classes among 163 sixth-grade students. The control group received traditional programming lectures using the text-based programming language, Python. Conversely, the experimental group utilized a mediated transfer pedagogical approach by starting with the block-based programming language MakeCode for micro:bit before transitioning to the text-based Python. Our findings indicate that the experimental group significantly reduced programming misconceptions in fundamental programming concepts: variables, sequencing, selection, and loops - compared to the control group. This suggests that the use of block-based programming language as an initial step in programming education, followed by a structured transition to text-based programming language, can effectively mitigate common misconceptions among K-12 learners.",Monika Mladenović and Žana Žanko and Goran Zaharija,10.1177/07356331241240047,https://doi-org.crai.referencistas.com/10.1177/07356331241240047,Journal of Educational Computing Research,5,1302–1326,From Blocks to Text: Bridging Programming Misconceptions,https://doi-org.crai.referencistas.com/10.1177/07356331241240047,62,2024g,
article,doi:10.1177/14780771221097685,"Computer-based design and fabrication systems in architecture contain modes of operation and preferences that often constrain tectonic possibilities in design and construction. These predispositions neglect architecture’s cultural and material dimensions, resulting in universalizing tectonics that erase nuances of place, culture, and expression in design. How may we celebrate local tectonic languages while also revisiting them through computer-based systems in architecture? The project examined here highlights novel possibilities for cultural expression and craftsmanship through computational design methods, retaining the expressive potential of a local craft while de-familiarizing its cultural context. I analyze how shape grammars and digital fabrication methods deployed in design, de-familiarizes the craft of wire-bending in costuming in the Trinidad Carnival. I present and apply new rules for the craft’s computational description based on material tests and an architectural application to expand discourses on critical regionalism. I adopt Tabbarah’s term “computational regionalism” to describe this process and elaborate it as a five-step sequence. Computational regionalism employs computational methods to translate local craft knowledge and tectonic languages into new interpretations and poetics of construction. Its process of creative de-familiarization raises critical questions about the local and the universal.",Vernelle AA Noel,10.1177/14780771221097685,https://doi-org.crai.referencistas.com/10.1177/14780771221097685,International Journal of Architectural Computing,2,277–296,Computational regionalism: De-familiarization of tectonics in the wire-bending craft,https://doi-org.crai.referencistas.com/10.1177/14780771221097685,20,2022h,
article,doi:10.1177/00375497221098417,"In this paper, we propose to use a computational method of chaos control to simulate complex experimental spectra. This computational chaos control technique is based on the Ott–Grebogi–York (OGY) method. We chose the logistic map as the base mathematical model for the development of our work. For the numeric part, we created arbitrary precision algorithms to generate the solutions. This way, we completely eliminated any degradation of chaos from our results. These algorithms were also necessary for the proper perturbation process that the computational chaos control method requires. We control the chaos of the logistic map in two cases of Period 1 and one case of Period 2 to demonstrate that our control method works. The behavior of a complex experimental spectrum was taken and numerically simulated. The simulated spectrum was obtained by controlling the chaos of the logistic map in a variable way with the methods proposed in this work. Our results show that it is possible to simulate very complicated experimental spectra by computationally controlling the chaos of an equation unrelated to the experimental system.",Jesús Manuel Rodríguez-Núñez and Aned de León and Martín E Molinar-Tabares and Mario Flores-Acosta and SJ Castillo,10.1177/00375497221098417,https://doi-org.crai.referencistas.com/10.1177/00375497221098417,SIMULATION,9,835–846,Computational chaos control based on small perturbations for complex spectra simulation,https://doi-org.crai.referencistas.com/10.1177/00375497221098417,98,2022i,
article,doi:10.3233/FI-2020-1888,"Computational Biology is a fast-growing field that is enriched by different data-driven methodological approaches and by findings and applications in a broad range of biological areas. Fundamental to these approaches are the mathematical and computational models used to describe the different states at microscopic (for example a biochemical reaction), mesoscopic (the signalling effects at tissue level), and macroscopic levels (physiological and pathological effects) of biological processes. In this paper we address the problem of combining two powerful classes of methodologies: Flux Balance Analysis (FBA) methods which are now producing a revolution in biotechnology and medicine, and Petri Nets (PNs) which allow system generalisation and are central to various mathematical treatments, for example Ordinary Differential Equation (ODE) specification of the biosystem under study. While the former is limited to modelling metabolic networks, i.e. does not account for intermittent dynamical signalling events, the latter is hampered by the need for a large amount of metabolic data. A first result presented in this paper is the identification of three types of cross-talks between PNs and FBA methods and their dependencies on available data. We exemplify our insights with the analysis of a pancreatic cancer model. We discuss how our reasoning framework provides a biologically and mathematically grounded decision making setting for the integration of regulatory, signalling, and metabolic networks and greatly increases model interpretability and reusability. We discuss how the parameters of PN and FBA models can be tuned and combined together so to highlight the computational effort needed to perform this task. We conclude with speculations and suggestions on this new promising research direction.",Pernice Simone and Follia Laura and Balbo Gianfranco and Milanesi Luciano and Sartini Giulia and Totis Niccoló and Lió Pietro and Merelli Ivan and Cordero Francesca and Beccuti Marco et al.,10.3233/FI-2020-1888,https://doi-org.crai.referencistas.com/10.3233/FI-2020-1888,Fundamenta Informaticae,1–4,367–392,Integrating Petri Nets and Flux Balance Methods in Computational Biology Models: a Methodological and Computational Practice,https://doi-org.crai.referencistas.com/10.3233/FI-2020-1888,171,2019j,
article,doi:10.1177/1094428121991230,"The substantial volume, continued growth, and resulting complexity of the scientific literature not only increases the need for systematic, replicable, and rigorous literature reviews, but also highlights the natural limits of human researchers’ information processing capabilities. In search of a solution to this dilemma, computational techniques are beginning to support human researchers in synthesizing large bodies of literature. However, actionable methodological guidance on how to design, conduct, and document such computationally augmented literature reviews is lacking to date. We respond by introducing and defining computational literature reviews (CLRs) as a new review method and put forward a six-step roadmap, covering the CLR process from identifying the review objectives to selecting algorithms and reporting findings. We make the CLR method accessible to novice and expert users alike by identifying critical design decisions and typical challenges for each step and provide practical guidelines for tailoring the CLR method to four conceptual review goals. As such, we present CLRs as a literature review method where the choice, design, and implementation of a CLR are guided by specific review objectives, methodological capabilities, and resource constraints of the human researcher.",David Antons and Christoph F. Breidbach and Amol M. Joshi and Torsten Oliver Salge,10.1177/1094428121991230,https://doi-org.crai.referencistas.com/10.1177/1094428121991230,Organizational Research Methods,1,107–138,"Computational Literature Reviews: Method, Algorithms, and Roadmap",https://doi-org.crai.referencistas.com/10.1177/1094428121991230,26,2023a,
article,doi:10.1177/09713557221097178,"The aim of this study was to investigate the correlational and causal relationship between middle school students’ entrepreneurial competencies and science, technology, engineering and mathematics (STEM) attitudes. A total of 648 middle school students (seventh and eighth grade) participated in this study. STEM attitude scale and two entrepreneurial competency scales that were developed in different studies in the literature were used as data collection tools. In addition, a simple regression, a multiple regression and a stepwise multiple regression analysis were executed to analyse the data. The correlational analysis showed that there was a moderate level, positive correlation between the STEM attitudes of students and their overall entrepreneurial competencies. Also, the multiple regression analysis showed that entrepreneurial competencies consisting of professionalism, risk-taking, creativity and tenacity explained 41% of the change in STEM attitude. The stepwise multiple regression analysis indicated that professionalism predicted the most the STEM attitude statistically more.",İsa Deveci and Fatma Zehra Konuş,10.1177/09713557221097178,https://doi-org.crai.referencistas.com/10.1177/09713557221097178,The Journal of Entrepreneurship,2,425–457,The Predictive Power of Turkish Middle School Students’ Entrepreneurial Competencies on STEM Attitudes,https://doi-org.crai.referencistas.com/10.1177/09713557221097178,31,2022b,
article,doi:10.1177/875697280703800102,"Building upon prior research on enterprise centralization and knowledge dynamics, this paper uses computational methods to assess the behavior and project performance of different organization-al designs in varying environments. The results reinforce contingency theory and suggest particular characteristics of different project environments that make one form relatively more or less appropriate than another. Practically, the answers to the research questions have direct and immediate application to project/portfolio managers and senior executives. Theoretically, broad classes of organizations are generalized and prescribe a novel set of organizational design guides.",John Dillard and Mark E. Nissen,10.1177/875697280703800102,https://doi-org.crai.referencistas.com/10.1177/875697280703800102,Project Management Journal,1,5–20,Computational Modeling of Project Organizations under Stress,https://doi-org.crai.referencistas.com/10.1177/875697280703800102,38,2007c,
article,doi:10.1177/0954410016660873,"Mass capture ratio of a hypersonic air intake is one of the most important performance parameters. However, no a priori estimate of its value exists for use in initial design exercise of a hypersonic vehicle. In the present work, an air intake of a non-axisymmetric scramjet engine, designed using stream thrust methodology, is studied using computational fluid dynamic techniques. A large amount of air mass flow rate is observed to spill from the sides, which is not accounted for in the initial design phase. In absence of even an approximate estimate of this spillage, computational fluid dynamic studies become the only available tool to evaluate the mass capture ratio. Simulations are also carried out with a side wall at the intake to stop spillage. Although mass capture ratio and static pressure at combustor entry improve, deterioration in other flow parameters such as static temperature, Mach number and total pressure is observed.",Afroz Javed and Debasis Chakraborty,10.1177/0954410016660873,https://doi-org.crai.referencistas.com/10.1177/0954410016660873,"Proceedings of the Institution of Mechanical Engineers, Part G: Journal of Aerospace Engineering",11,2111–2119,Evaluation of side spillage for a hypersonic air intake using computational fluid dynamic techniques,https://doi-org.crai.referencistas.com/10.1177/0954410016660873,231,2017d,
article,doi:10.2310/JIM.0b013e318224d8cc,"Today, there is an ever-increasing amount of biological and clinical data available that could be used to enhance a systems-based understanding of disease progression through innovative computational analysis. In this article, we review a selection of published research regarding computational methods, primarily from systems biology, which support translational research from the molecular level to the bedside, with a focus on applications in trauma and critical care. Trauma is the leading cause of mortality in Americans younger than 45 years, and its rapid progression offers both opportunities and challenges for computational analysis of trends in molecular patterns associated with outcomes and therapeutic interventions. This review presents methods and domain-specific examples that may inspire the development of new algorithms and computational methods that use both molecular and clinical data for diagnosis, prognosis, and therapy in disease progression.",Mary F. McGuire and Madurai Sriram Iyengar and David W. Mercer,10.2310/JIM.0b013e318224d8cc,https://doi-org.crai.referencistas.com/10.2310/JIM.0b013e318224d8cc,Journal of Investigative Medicine,6,893–903,Computational Approaches for Translational Clinical Research in Disease Progression,https://doi-org.crai.referencistas.com/10.2310/JIM.0b013e318224d8cc,59,2011e,
article,doi:10.1177/14780771221097685,"Computer-based design and fabrication systems in architecture contain modes of operation and preferences that often constrain tectonic possibilities in design and construction. These predispositions neglect architecture’s cultural and material dimensions, resulting in universalizing tectonics that erase nuances of place, culture, and expression in design. How may we celebrate local tectonic languages while also revisiting them through computer-based systems in architecture? The project examined here highlights novel possibilities for cultural expression and craftsmanship through computational design methods, retaining the expressive potential of a local craft while de-familiarizing its cultural context. I analyze how shape grammars and digital fabrication methods deployed in design, de-familiarizes the craft of wire-bending in costuming in the Trinidad Carnival. I present and apply new rules for the craft’s computational description based on material tests and an architectural application to expand discourses on critical regionalism. I adopt Tabbarah’s term “computational regionalism” to describe this process and elaborate it as a five-step sequence. Computational regionalism employs computational methods to translate local craft knowledge and tectonic languages into new interpretations and poetics of construction. Its process of creative de-familiarization raises critical questions about the local and the universal.",Vernelle AA Noel,10.1177/14780771221097685,https://doi-org.crai.referencistas.com/10.1177/14780771221097685,International Journal of Architectural Computing,2,277–296,Computational regionalism: De-familiarization of tectonics in the wire-bending craft,https://doi-org.crai.referencistas.com/10.1177/14780771221097685,20,2022f,
article,doi:10.1177/1971400917740362,"Brain atlases have a wide range of use from education to research to clinical applications. Mathematical methods as well as computational methods and tools play a major role in the process of brain atlas building and developing atlas-based applications. Computational methods and tools cover three areas: dedicated editors for brain model creation, brain navigators supporting multiple platforms, and atlas-assisted specific applications. Mathematical methods in atlas building and developing atlas-aided applications deal with problems in image segmentation, geometric body modelling, physical modelling, atlas-to-scan registration, visualisation, interaction and virtual reality. Here I overview computational and mathematical methods in atlas building and developing atlas-assisted applications, and share my contribution to and experience in this field.",Wieslaw L Nowinski,10.1177/1971400917740362,https://doi-org.crai.referencistas.com/10.1177/1971400917740362,The Neuroradiology Journal,6,520–534,Computational and mathematical methods in brain atlasing,https://doi-org.crai.referencistas.com/10.1177/1971400917740362,30,2017g,PMID:29096578
article,doi:10.1177/20539517211047725,"The proliferation of digital data has been the impetus for the emergence of a new discipline for the study of social life: ‘computational social science’. Much research in this field is founded on the premise that society is a complex system with emergent structures that can be modeled or reconstructed through digital data. This paper suggests that computational social science serves practical and legitimizing functions for digital capitalism in much the same way that neoclassical economics does for neoliberalism. In recognition of this homology, this paper develops a critique of the complexity perspective of computational social science and argues for a heterodox computational social science founded on the meta-theory of critical realism that is critical, methodological pluralist, interpretative and explanative. This implies diverting computational social science’ computational methods and digital data so as to not be aimed at identifying invariant laws of social life, or optimizing state and corporate practices, but to instead be used as part of broader research strategies to identify contingent patterns, develop conjunctural explanations, and propose qualitatively different ways of organizing social life.",Petter Törnberg and Justus Uitermark,10.1177/20539517211047725,https://doi-org.crai.referencistas.com/10.1177/20539517211047725,Big Data & Society,2,20539517211047724,For a heterodox computational social science,https://doi-org.crai.referencistas.com/10.1177/20539517211047725,8,2021h,
article,doi:10.1177/0735633121992594,"Robotics education has gradually been emphasized in contemporary school curricula; however, assessment tools for robotics learning are still limited. Based on Bloom’s Taxonomy of educational objectives, this study aimed to develop the Robotics Learning Self-Efficacy Scale (RLSES) with a two-level construct of five dimensions for assessing students’ self-efficacy for learning robotics. A total of 181 elementary, junior high and senior high school students (5th–12th graders) with robotics learning experience were selected as the sample of this study. A questionnaire including 32 candidate items designed for the initial version of the RLSES was administered to the sample. An exploratory factor analysis was conducted and, finally, 16 items were drawn for the final RLSES under five subscales (Comprehension, Practice, Analysis, Application, and Collaboration), with a total explained variance of 85.28%. The Cronbach’s alpha reliability was .97 for the overall scale, ranging from .87 to .95 for the subscales. The inter-correlation analysis showed evidence of discriminant validity. Regression analysis results supported that Practice and Comprehension self-efficacy were significant predictors of Analysis, Application, and Collaboration self-efficacy, confirming the two-level (2 × 3) construct of the RLSES. Significant differences among school levels were found and are discussed.",Meng-Jung Tsai and Ching-Yeh Wang and An-Hsuan Wu and Chun-Ying Hsiao,10.1177/0735633121992594,https://doi-org.crai.referencistas.com/10.1177/0735633121992594,Journal of Educational Computing Research,6,1056–1074,The Development and Validation of the Robotics Learning Self-Efficacy Scale (RLSES),https://doi-org.crai.referencistas.com/10.1177/0735633121992594,59,2021i,
