ENTRYTYPE,ID,abstract,annote,archiveprefix,arxivid,author,doi,editor,eprint,issn,journal,keywords,number,pages,pmid,publisher,title,url,volume,year
article,doi:10.1080/10494820.2023.2273486,"Online learning democratizes and provides flexibility in accessing education, but it also places greater demands on students' self-regulated learning strategies. Previous studies have explored the important impact of effort regulation on academic performance. However, there remains more to explore on the dynamics of effort regulation among undergraduates and their group differences. This study investigates how the effort regulation of the learning process varies between achievement categories in an online learning environment using a sample of 240 undergraduates. Findings suggest that students in the high-achieving group had significantly higher effort regulation throughout the semester than their low-achieving counterparts on three dimensions: conversation, navigation, and click-through events. However, there were no significant differences in task time. Further test results also show that the high-performing students had significantly higher levels of engagement in all behaviours compared low-performing students during anaphase. Surprisingly, all students significantly lowered their effort levels near the final exam period. Results herein ultimately provide insight into the design of online learning environments.",,,,"Han, Shuyun and Zhang, Zhaoli and Liu, Hai and Kong, Weiliang and Xue, Zengcan and Cao, Taihe and Shu, Jiangbo",10.1080/10494820.2023.2273486,,,17445191,Interactive Learning Environments,"Effort regulation,behavioural engagement,higher education,online learning,self-regulated learning",0,1--21,,Routledge,{From engagement to performance: the role of effort regulation in higher education online learning},https://doi.org/10.1080/10494820.2023.2273486,0,2023
article,doi:10.1080/00220671.2015.1118003,"The authors' aim was to investigate the effects of the instructional intervention on science processes skills (SPSs) of seventh-grade students. The study was designed as nonequivalent control-group pretest-posttest, and it was carried out with 43 students. Participants were chosen according to the convenient sampling method. The authors collected data from the test of SPSs assessment, worksheets, or experiment reports. While the control group received a regular teaching approach over existing science curriculum, an instructional intervention by emphasizing SPSs via multiple types of practical activities was used to improve SPSs of the experimental group. Data obtained were analyzed both for inferential and descriptive purposes. The results indicated a significant difference between the experimental group's pretest and posttest scores related to the assessment SPSs. However, the difference between the control group's pretest and posttest scores related to the test of SPSs assessment was not significant. Despite the limitations of the study such as small sample size, lack of analysis of the long-term students' outcomes of SPSs, and no collection of performance-based assessment data from the control group, the authors suggest that the experimental group improved their SPSs via the instructional intervention more than the control group students. The study results also revealed that the students had several problems in using SPSs.",,,,"Durmaz, H{\""{u}}sn{\""{u}}ye and Mutlu, Se{\c{c}}kin",10.1080/00220671.2015.1118003,,,19400675,Journal of Educational Research,"Elementary students,instructional intervention,science education,science process skills",4,433--445,,Routledge,{The effect of an instructional intervention on elementary students' science process skills},https://doi.org/10.1080/00220671.2015.1118003,110,2017
article,doi:10.1080/02635143.2023.2204424,"Background: This research explores thinking and teaching strategy in sciencesteaching by analyzing 2027 research articles from the Web of Science.It is anticipated that groups of keywords, writers, and universitieswill highlight patterns, offer advice to scholars and teachers, andadd to the body of literature already available on the topic. Purpose: This study's purposes are to use the Web of Science to examine thecurrent state of the literature on thinking and teaching strategy insciences teaching, identify clusters of relevant keywords, authors,and universities, and investigate potential future research avenuesin this area. Sample: The Web of Science provided the data for this study, which comprised2027 scientific papers that were released between 1984 and 2022. Acomplete and representative sample was achieved by screening andchoosing a sample from a starting pool of 4000 articles. Design and methods: Data from the Web of Science Core Collection database were gatheredfor this study using bibliometric and content analysis methods. Frommore than 4000 sources, pertinent papers on teaching strategies andscientific education were chosen, and 2027 peer-reviewed publicationswere further assessed. Non-scientific sources were excluded. Results: This study investigated 2027 scholarly publications on teaching andthinking techniques in science education published between 1984 and2022 in the Web of Science Core Collection. Six study clustersspanning subjects including student knowledge and thinking, cognitivetechniques for creativity, and robots in science education werefound. The clusters included 59 universities, 89 keywords, and 199authors from 63 different countries. Conclusion: In order to fully understand thinking and teaching strategies in scientific education, this study carefully analyzed 2027 research publications from the Web of Science Core Collection. The results might aid researchers, instructors, and regulators in understanding the state of the literature and potential future study topics in science education.",,,,"Momani, Manal Abdul Karim Al and Alsmadi, Mohareb and Samardali, Muntaha Farah Sulieman and Abdalazez, Amjad Mohamad Ahmad Al",10.1080/02635143.2023.2204424,,,14701138,Research in Science and Technological Education,"Thinking,co-occurrences analysis,sciences teaching; bibliometric analysis,teaching strategy",0,1--23,,Routledge,{A bibliometric analysis of the increasing knowledge base on the role of thinking teaching strategy in sciences teaching},https://doi.org/10.1080/02635143.2023.2204424,0,2023
article,doi:10.1080/00038628.2023.2269549,"Recent studies showed that deep learning techniques and image processing can identify the distinguishing design principles in architectural fa{\c{c}}ades. However, predicting the strength of a principle is still a challenging task, as it requires a huge amount of annotated design variations. The difficulties in both searching such big numbers of data–and its labelling by experts–slow down the research. This paper proposes a computation approach for obtaining this type of data faster. With the help of parametric modelling and evolutionary algorithms, we could manipulate the design elements, and thereby generate different solutions. An integrated fuzzy logic decision mechanism could enable to carry human knowledge in the judging and labelling of alternatives automatically. The final synthetic data developed from real building images could be used for machine learning applications to enhance our understanding of artistic expression.",,,,"Cekmis, Asli",10.1080/00038628.2023.2269549,,,17589622,Architectural Science Review,"Automated labelling,Data generation,Fa{\c{c}}ade design,Fuzzy Logic,Parametric modelling,Visual design principles",4,291--308,,Taylor & Francis,{Modelling the perception of visual design principles on fa{\c{c}}ades through fuzzy sets: towards building an automated architectural data generation and labelling tool},https://doi.org/10.1080/00038628.2023.2269549,67,2024
article,doi:10.1080/2331186X.2024.2334575,"Digital fluency is a central 21st-century competence. Schools are responsible for ensuring that all students cultivate sophisticated sociodigital competences and mindsets needed for studying and collaborating through and around technology and overcoming digital challenges encountered. Although some schools have successfully integrated digital technologies into traditional schoolwork, students are not provided sufficient structured training in creative and academic practices of using digital technologies. This study explored changes before and after the COVID-19 pandemic in Finnish primary and middle school students' perceived sociodigital study practices, competences, mindsets, and profiles. Participants were asked to respond to the Sociodigital Practices Inventory (SDPi), which assessed their sociodigital study practices, competences, and mindset. The participants consisted of 947 cohort 1 students (5th grade in 2019 and 6th grade in 2020) and 771 cohort 2 students (7th grade in 2019 and 8th grade in 2020). The results revealed subtle changes in students' perceptions regarding schools' digital practices; primary school students experienced an increase in basic practices while middle schoolers experienced a decrease in perceived advanced practices. Both boys' and girls' self-evaluated academic sociodigital competences increased from 2019 to 2020, while their artistic and technical competences decreased. Primary school boys' sociodigital mindsets increased, while that of middle school girls decreased. The analyses revealed four latent profiles of digital fluency: Inexperienced, Enthusiastic, Humble, and Driven. We propose that it is vital to build a multidimensional view of students' digital fluency by exploring interrelations between their sociodigital practices, competences, mindsets, and profiles.",,,,"Korhonen, Tiina and Laakso, Noora and Seitamaa, Aino and Salonen, Visajaani and Tiippana, Netta and Lavonen, Jari and Hakkarainen, Kai",10.1080/2331186X.2024.2334575,,,2331186X,Cogent Education,"COVID-19,Classroom Practice,Digital fluency,Information & Communication Technology (ICT),Muesser Nat, Management Information Systems, Cypru,Primary/Elementary Education,sociodigital competence,sociodigital mindset,sociodigital practices,sociodigital profiles",1,2334575,,Cogent OA,"{Sociodigital practices, competences, mindsets, and profiles of Finnish students before and after the COVID-19 distance learning period}",https://doi.org/10.1080/2331186X.2024.2334575,11,2024
article,doi:10.1080/02568543.2023.2282662,"While early childhood education worldwide has become increasingly interested in integrating makerspaces into their curricula, little research has examined how this can be done. We conducted a comparative case study to understand how three pioneering and prominent teachers have established such spaces, their perspectives regarding makerspaces and their role in them, and what characterizes these spaces. Observational and interview research data were organized and analyzed for patterns, themes, and relationships. Three main themes were identified: (1) the makerspace design, activities, and teacher's role are impacted by the reasons and goals teachers espouse for establishing them; (2) all three sites provided limited scaffolds for the making process–five different forms of teachers' scaffolding were identified; and (3) while advanced technologies (robotics, 3D printing) were present, their use was limited as they required significant troubleshooting by the teacher and close supervision. These results can be used to construct a theoretical framework that provides guidance to early childhood educators who wish to integrate makerspaces in differentiated ways suited to teachers with different inclinations.",,,,"Peleg, Adela and Levy, Sharona T.",10.1080/02568543.2023.2282662,,,21502641,Journal of Research in Childhood Education,"Advanced technologies,comparative case study,early childhood education,makerspaces,scaffolding,teachers' perceptions",3,405--432,,Routledge,"{On the Inter-Relationships Between Teachers, Technologies, and Children in Makerspace Environments: A Comparative Case Study in Kindergarten Classrooms}",https://doi.org/10.1080/02568543.2023.2282662,38,2024
article,doi:10.1080/10409289.2020.1755776,"Research Findings: Educators declare their commitment to high-quality education for all children. Science, Technology, Engineering, and Mathematics (STEM) has been increasingly included as critical topics, even for young children. However, there are exceptions, especially the provision of developmentally appropriate STEM experiences to children with disabilities (CWD). In this article, we review evidence concerning this equity gap, including the importance of STEM education to CWD. We find that the early years provide an exceptional opportunity to introduce STEM, but that this potential is often left unrealized, especially for young vulnerable children, who live in poverty, are members of linguistic and ethnic minority groups, or are CWD (some with particular disabilities in STEM domains). Research also indicates the success of some educational approaches. Practice or Policy: Research and development in each of the STEM domains, as well as interdisciplinary approaches provides directions for both policy and practice. For example, both need to change to reflect importance of STEM for all young children, especially CWD, the need to change harmful beliefs, and the positive effects of approaches based on learning trajectories. We conclude with an introduction of a new center to support inclusive innovation in early education in STEM.",,,,"Clements, Douglas H. and Vinh, Megan and Lim, Chih Ing and Sarama, Julie",10.1080/10409289.2020.1755776,,,10409289,Early Education and Development,,1,148--171,,Routledge,{STEM for Inclusive Excellence and Equity},https://doi.org/10.1080/10409289.2020.1755776,32,2021
article,doi:10.1080/10494820.2023.2255228,"Artificial intelligence (AI) literacy has emerged to equip students with digital skills for effective evaluation, communication, collaboration, and ethical use of AI in online, home, and workplace settings. Countries are increasingly developing AI curricula to support students' technological skills for future studies and careers. However, there is a lack of reviews summarizing AI education in secondary schools. This study aims to provide an up-to-date summary of the literature, informing researchers, policymakers, and educators on fostering students' AI literacy. A thematic analysis of 50 AI education studies from 2016 to 2022 was conducted, evaluating pedagogies, teaching tools, learning contents, and assessment methods among secondary students. Results were identified: (1) Collaborative project-based learning, involving interdisciplinary problem-solving through artifact creation, emerged as the most common pedagogical approach; (2) Teaching tools were categorized into hardware, software, intelligent agents, and unplugged tools; (3) Junior students focused on experiencing AI and basic concepts, while senior students explored advanced and technical components; (4) Assessments included knowledge tests, questionnaires, and qualitative analysis (e.g., videos, documents, presentations); (5) Students' learning effects were measured across affective, behavioral, cognitive, and ethical dimensions. The study identifies suggestions and challenges for implementing AI education in secondary schools, offering valuable insights and recommendations for educators and decision-makers.",,,,"Ng, Davy Tsz Kit and Su, Jiahong and Leung, Jac Ka Lok and Chu, Samuel Kai Wah",10.1080/10494820.2023.2255228,,,17445191,Interactive Learning Environments,"AI literacy,Artificial intelligence,review,secondary",0,1--21,,Routledge,{Artificial intelligence (AI) literacy education in secondary schools: a review},https://doi.org/10.1080/10494820.2023.2255228,0,2023
article,doi:10.1080/08993408.2019.1565233,"Background and Context: The use of block-based programming environments is purported to be a good way to gently introduce novice computer programmers to computer programming. A small, but growing body of research examines the differences between block-based and text-based programming environments. Objective: Thus, the purpose of this study was to examine the overall effect of block-based versus text-based programming environments on both cognitive and affective student learning outcomes. Method: Five academic databases were searched to identify literature meeting our inclusion criteria and resulted in 13 publications with 52 effect size comparisons on both cognitive and affective outcomes. Findings: We found small effect size (g = 0.245; p = .137; with a 95% confidence interval of −0.078 to 0.567) in favor of block-based programming environments on cognitive outcomes, and a trivial effect size (g = 0.195, p = .429; with a 95% confidence interval of −0.289 to 0.678) on affective outcomes. Both effect size calculations were statistically insignificant using random effects models. The effect sizes were examined for moderating effects by education level, learning environment, and study duration. Some evidence of publication bias was detected in these data. Implications: More research is needed to examine the utility and efficacy of block-based programming environments for novice programmers. Future studies should account for hybrid programming environments using novel research methods.",,,,"Xu, Zhen and Ritzhaupt, Albert D. and Tian, Fengchun and Umapathy, Karthikeyan",10.1080/08993408.2019.1565233,,,17445175,Computer Science Education,"Block-based programming,meta-analysis,novice computer prssssogrammers,student learning outcomes,text-based programming",2-3,177--204,,Routledge,{Block-based versus text-based programming environments on novice student learning outcomes: a meta-analysis study},https://doi.org/10.1080/08993408.2019.1565233,29,2019
article,doi:10.1080/17439884.2013.779585,"This paper explored informal (after-school) and formal (elective course in-school) learning contexts as contributors to middle-school student attitudinal changes in a guided discovery-based and blended e-learning program in which students designed web games and used social media and information resources for a full school year. Formality of the program context did not substantially influence attitude changes but did appear to influence learning outcomes. While intrinsic motivation did not change in the aggregate from pre- to post-program among students, positive changes in intrinsic motivation were found to be associated with engagement in almost all areas of student engagement in Globaloria, with several at-home engagement changes measured. This finding challenges critiques of discovery-based learning as being de-motivating. Lower parent education among students was associated with positive changes in self-efficacy for online research indicating that disadvantaged students may stand to benefit from programs like this one. The study offers support for the need to more definitively explicate instructional design and context factors in educational technology research when investigating influences upon learning outcomes. The study holds implications for designing effective digital literacy interventions, and contributes to theory in the learning sciences and socio-technical systems research. {\textcopyright} 2013 Taylor & Francis.",,,,"Reynolds, Rebecca and Chiu, Ming Ming",10.1080/17439884.2013.779585,,,17439884,"Learning, Media and Technology","Globaloria,constructionism,design-based research,digital divide,digital literacy,educational technology,evidence-based practice,game design,informal learning,motivation,self-efficacy,wiki",4,429--462,,Routledge,{Formal and informal context factors as contributors to student engagement in a guided discovery-based program of game design learning},https://doi.org/10.1080/17439884.2013.779585,38,2013
article,doi:10.1080/0144929X.2023.2295956,"Data science education has gained momentum in recent years. Along with the development of curricula to teach data science, the number and diversity of tools for introducing data science to learners are also multiplying. The tools used to teach data science play a central role in shaping the learning experience. Therefore, it is important to carefully choose which tools to use to introduce learners to data science. This article presents a systematic analysis of 30 data science tools that are, or designed to be, used in introductory data science education for K-12 students. The identified tools list includes spreadsheets, visual analysis tools, and scripting environments. For each tool, we examine facets of its capabilities, interactions, educational support, and accessibility. For block-based programming tools, we also examine the data science functionalities available in that tool's blocks. This paper advances our understanding of the current state of introductory data science environments and highlights opportunities for creating new tools to better prepare learners to navigate the data-rich world surrounding them.",,,,"Israel-Fishelson, Rotem and Moon, Peter F. and Tabak, Rachel and Weintrop, David",10.1080/0144929X.2023.2295956,,,13623001,Behaviour and Information Technology,"Data science,K-12 education,block-based programming",0,1--20,,Taylor & Francis,{Preparing students to meet their data: an evaluation of K-12 data science tools},https://doi.org/10.1080/0144929X.2023.2295956,0,2023
article,doi:10.1080/23311886.2024.2382282,"While the South African National Development Plan (NDP) 2030 emphasizes that Fourth Industrial Revolution (4IR) technologies offer potential economic growth and productivity gains in South Africa, they also risk significant job displacement and may deepen socio-economic inequalities if not appropriately managed. Thus, without targeted policies and interventions, the adoption of 4IR technologies may lead to greater unemployment and increased inequality, particularly affecting low-skilled workers and marginalized communities in South Africa. Therefore, a comprehensive analysis of how these changes can impact employment in different sectors will allow a smooth proposal of strategies to mitigate adverse effects while capitalizing on new opportunities. In doing so, the current paper uses the feasible generalized least squares (FGLS) estimation technique to examine the impact of the 4IR technologies on aggregate and disaggregated sectoral employment in South Africa from 2000 to 2021, aiming to assess how the technology advancements are reshaping the labor market across various sectors in South Africa. The results indicate that Information and Communication Technology (ICT) exports and imports and high technology exports negatively affect sectoral employment in South Africa. However, research and development, fixed broadband, internet usage, and mobile phone usage positively affect sectoral employment in the short run. Again, the sectoral analysis shows that the different 4IR indicators have a disparate effect on employment at the sectoral level. This calls for policymakers and the government to increase investments in technological education for the workforce by setting up high-quality education and training systems for learning skills for using new technology.",,,,"Gonese, Dorcas and Ngepah, Nicholas N.",10.1080/23311886.2024.2382282,,,23311886,Cogent Social Sciences,"Economics,Environmental Economics,Fourth industrial revolution,Komalsingh Rambaree, University of G{\""{a}}vle Departmen,Political Economy,South Africa,Technology,feasible generalised least squares,panel data,sectoral employment",1,2382282,,Cogent OA,{Fourth industrial revolution technologies and sectoral employment in South Africa},https://doi.org/10.1080/23311886.2024.2382282,10,2024
article,doi:10.1080/1046560X.2022.2125623,"Inquiry-based science education (IBSE) has been a key element in science education for the past decade and should therefore be a key element of pre-service teacher (PST) education as well. This study aims to explore how IBSE is implemented in teacher education for primary and lower secondary levels (years 1–10) to prepare PSTs for their professional practice as science teachers. This is explored through an interview study conducted at seven teacher education institutions in Norway. The results reveal that teacher educators implement IBSE in different ways and to different extents. In the interviews, they discuss the use of various scaffolding models and describe specific examples of teaching activities and how they included literature and mandatory work in addition to reflections on the opportunities and challenges related to IBSE in teacher education. Based on these results, we examine three issues related to the implementation of IBSE: 1) how IBSE is implemented (whether science teacher educators prioritize giving PSTs experience in inquiry-based methods in the learner role or the teacher role), 2) how often IBSE is implemented (whether educators focus on single examples or have a plan for progression), and 3) the intention of IBSE implementation (whether IBSE is taught as a product or a process). Based on these issues, we provide recommendations for how IBSE can be implemented in science teacher education.",,,,"Strat, Tonje Tomine Seland and Jegstad, Kirsti Marie",10.1080/1046560X.2022.2125623,,,15731847,Journal of Science Teacher Education,"Inquiry-based science education,pre-service teachers,science teacher educators,teacher education",6,624--644,,Routledge,{Norwegian Teacher Educators' Reflections on Inquiry-Based Teaching and Learning in Science Teacher Education},https://doi.org/10.1080/1046560X.2022.2125623,34,2023
article,doi:10.1080/10494820.2022.2147956,"The purpose of this meta-analysis was to examine the overall effect and impact of moderators in the context of STEM education. This study first summarized previous meta-analysis studies on STEM education and pinpointed gaps in the current literature, such as inconsistent results and the mixed effects of moderators. It also assessed critical features that should be considered in STEM education. The key inclusion criteria were studies on STEM education that used experimental or quasi-experimental research designs and learning outcome measures to evaluate the effect of STEM education. As a result, 23 eligible journal articles published between 2000 and 2020 representing 9,797 participants from 70 schools in seven countries were meta-analyzed. The results demonstrated that the overall mean weighted effect size was 0.38, indicating that STEM education had a small to medium positive effect on students' academic achievements compared with traditional education. In addition, the mean effect size was affected by education levels, subject domains, school locations, learning outcomes, and hours of instruction, but not by pedagogical approaches. Taken together, the results highlight the theoretical framework that will be of value to future STEM education studies as well as the affordances of various moderators for STEM learning.",,,,"Chang, Shu Hsuan and Yang, Lee Jen and Chen, Ching Huei and Shih, Chun Chao and Shu, Yu and Chen, Ying Tsung",10.1080/10494820.2022.2147956,,,17445191,Interactive Learning Environments,,6,2401--2423,,Routledge,{STEM education in academic achievement: a meta-analysis of its moderating effects},https://doi.org/10.1080/10494820.2022.2147956,32,2022
article,doi:10.1080/09500693.2018.1517239,"In an increasingly competitive world, it has been proved that invention, development, and profusion of new technologies through science and technology are the fundamental source of economic progress. Australia, which is one of the world leaders in education and India, which has the capacity to produce the highest number of young skilled manpower to lead the world, both understand the current situation and have signalled their commitment to restoring the national strategy for STEM education. The proposed study focuses on a comparative understanding of the interplay of inclusive policies, government's initiatives, knowledge gap from the literature and potential future challenges that Australia and India could face in STEM education at the school level. The question we asked is: what are the important inferences and best practices in STEM education that can be mutually beneficial to broaden the Strategic Partnership? It is identified that the governments of both the countries are determined to utilise the young population to train them as skilled workforce in order to meet the future demand of industries. Australia's constructivist approach to education and the well-defined system of vocational training outperform India, which is still following the traditional approach. However, Australia has failed to engage students adequately in STEM and needs to revisit the efficacy of the current education model, while India needs to espouse the well-defined Australian framework, which could help to enhance quality infrastructure, curriculum, constructivist teaching and transparent policy implementation. In addition, both the nations must work hard to attract bright students in the teaching profession in order to promote a conducive environment for scientific learning.",,,,"Sharma, Jyoti and Yarlagadda, Prasad K.D.V.",10.1080/09500693.2018.1517239,,,14645289,International Journal of Science Education,"STEM,constructivist,policy,secondary school,skill development",16,1999--2022,,Routledge,{Perspectives of ‘STEM education and policies' for the development of a skilled workforce in Australia and India},https://doi.org/10.1080/09500693.2018.1517239,40,2018
article,doi:10.1080/09588221.2022.2056616,"We reviewed articles on computer-assisted language learning, focusing on intercultural education studies published in the last five years. We investigated the following aspects: (1) the theoretical foundation that the studies were based on, e.g., theory, hypothesis, model, or framework, (2) the technologies used by the participants, (3) the languages and cultures that the studies focused on, (4) the methodology of the reviewed studies, and (5) the findings reported by researchers. Our results showed that Byram's intercultural communicative competence model, sociocultural theory, and social constructivism were the most frequently used theoretical foundations. The participants frequently used discussion forums, Facebook, email, and Skype. English was the most popular language, and American culture received more attention than any other culture. In terms of the methodology, most studies were conducted for four to 18 weeks, and undergraduate students with advanced language skills were the most frequent participants. The participants interacted with their partners, e.g., introduced cultural backgrounds, created collaborative products, and reflected on learning experiences. Researchers in most studies used questionnaires and interviews to collect the data, and their results demonstrated that intercultural telecollaboration in foreign language education promotes language and culture learning. Benefits such as students having positive attitudes toward technology-supported learning activities and learning activities contributing to developing language abilities and intercultural skills were reported by the researchers. However, according to the results, high cost and learning burdens were the most frequently reported drawbacks of CALL for intercultural education. Several implications were drawn from the results of this review study. The significance of this study is that it provides up-to-date information on CALL-based intercultural education, keeps track of changes in technologies and their applications to language and culture learning, and focuses on aspects that are important to the field but were neglected in earlier review studies.",,,,"Shadiev, Rustam and Yu, Jiatian",10.1080/09588221.2022.2056616,,,17443210,Computer Assisted Language Learning,"Review,intercultural education,language learning,technology",4,841--871,,Routledge,{Review of research on computer-assisted language learning with a focus on intercultural education},https://doi.org/10.1080/09588221.2022.2056616,37,2024
article,doi:10.1080/21670811.2017.1403291,"Data storytelling is rapidly gaining prominence as a characteristic activity of digital journalism with significant adoption by small and large media houses. While a handful of previous studies have examined what characterises aspects of data storytelling like narratives and visualisation or analysis based on single cases, we are yet to see a systematic effort to harness these available resources to gain better insight into what characterises good data stories and how these are created. This study analysed 44 cases of outstanding data storytelling practices comprising winning entries of the Global Editors Network's Data Journalism Award from 2013 to 2016 to bridge this knowledge gap. Based on a conceptual model we developed, we uniformly characterised each of the 44 cases and then proceeded to determine types of these stories and the nature of technologies employed in creating them. Our findings refine the traditional typology of data stories from the journalistic perspective and also identify core technologies and tools that appear central to good data journalism practice. We also discuss our findings in relations to the recently published 2017 winning entries. Our results have significant implications for the required competencies for data journalists in contemporary and future newsrooms.",,,,"Ojo, Adegboyega and Heravi, Bahareh",10.1080/21670811.2017.1403291,,,2167082X,Digital Journalism,"Global Editor Network,data journalism skills,data journalism tools,data story,data storytelling types,data-driven journalism",6,693--718,,Routledge,"{Patterns in Award Winning Data Storytelling: Story Types, Enabling Tools and Competences}",https://doi.org/10.1080/21670811.2017.1403291,6,2018
article,doi:10.1007/s10972-013-9335-2,"This study examines how the implementation of a novel curriculum, that emphasizes the use of published scientific data and media to learn about human impact and ecological function, influenced ninth-grade biology teacher (N-36) dispositions toward using data and media in their ecology and human impact lesson plans. It explores how integration of these elements shaped their lesson plans. Research questions addressed are 1. How do teachers' use of data and media change as a result of implementing this novel curriculum? 2. How do the integration of data and media influence teachers' lesson plans? Findings show that implementation positively affected teachers' dispositions toward using authentic data and real-world media about scientific research to explain how people impact ecological function. Teachers also demonstrated increased appreciation and capacity for using data and media for learning how humans disrupt ecological function. Importantly, prior to implementation, 42 % of teachers specifically reported not using data when teaching human impact. Additionally, content analysis of teachers' lesson plan reports shows that focusing lesson plans around data and media can support teachers in making human impact lessons more specific and that a data- and media-centered curriculum can assist teachers in moving away from discussions of the generalized effect of people on the environment to specific real-world examples of how humans impact ecological function. {\textcopyright} 2013 The Association for Science Teacher Education, USA.",,,,"Wyner, Yael",10.1007/s10972-013-9335-2,,,1046560X,Journal of Science Teacher Education,"Curriculum,Ecology,Environmental education,Media,Scientific data",5,833--857,,Routledge,{The Impact of a Novel Curriculum on Secondary Biology Teachers' Dispositions Toward Using Authentic Data and Media in Their Human Impact and Ecology Lessons},https://doi.org/10.1007/s10972-013-9335-2,24,2013
article,doi:10.1080/03043797.2020.1718614,"Considering the challenges associated with the teaching of engineering design, and recognising potential differences in design values of individuals from various backgrounds, this study investigated the utility of adaptive comparative judgment (ACJ) as a method for informing the teaching and practice of engineering design. The authors investigated a series of research questions to examine the use of ACJ as a formative method for influencing an engineering student's design decision-making as well as identifying/comparing design values of different engineering education stakeholders. The study results indicate that the ACJ process enabled students to gain insights for enhancing their designs through the critique of peer-work and the receipt of feedback on their own projects. Also, the results revealed similarities/differences between the ways instructors, students, and practicing engineers judged design projects. In light of these findings, it appears ACJ can be a valuable formative assessment tool for informing the practice/processes of education related to engineering design.",,,,"Strimel, Greg J. and Bartholomew, Scott R. and Purzer, Senay and Zhang, Liwei and Ruesch, Emily Yoshikawa",10.1080/03043797.2020.1718614,,,14695898,European Journal of Engineering Education,"First year curriculum,adaptive comparative judgment,design projects,engineering design,formative assessment",2,227--246,,Taylor & Francis,{Informing engineering design through adaptive comparative judgment},https://doi.org/10.1080/03043797.2020.1718614,46,2021
article,doi:10.1080/08993408.2023.2300554,"Background and Context: To offer more experiences in the field, our study employed secondary school pre-service teachers as assistants in courses for secondary school students learning computer coding with the help of smart textiles. Objective: Did pre-service teachers assisting in CS courses have more highly developed pedagogical content knowledge (PCK) and more positive attitudes toward computer science teaching than a control group. Method: We administered a teacher questionnaire (N = 47) with items related to pre-service teachers' awareness of CS and attitudes toward CS learning environments. Data on emotional experiences were collected. Findings: Two moderate effects helped to explain variances between the groups on measures of belief in effectiveness of CS learning and peer support over time. Their positive experiences were confirmed by their decline in negative emotions. Implications: The results of our research might help to expand our not yet very broad knowledge of meaningful educational experiences for pre-service teachers' CS education.",,,,"Smit, Robbert and Waibel, Clemens and Schmid, Rahel",10.1080/08993408.2023.2300554,,,17445175,Computer Science Education,"Pre-service teachers,coding skills,computer science,emotional experiences",0,1--25,,Routledge,{Assisting in a computer science education centre as a field-based internship for pre-service teachers},https://doi.org/10.1080/08993408.2023.2300554,0,2024
article,doi:10.1080/10841806.2015.997630,"This article is about the branch of policy inquiry known as social simulation. As an established technique for inquiring into deterministic systems, simulation allows for important opportunities of discovery. In this article, we discuss the limited opportunities for using simulation to understand and discover in social contexts bound by constitutive rules. In policy inquiry we attempt to understand phenomena that are developed through interlaced rule systems, and we propose that social simulations can be a useful technique for making assumptions explicit and thinking through the logical consequences of rules. We argue that simulation should be viewed as an exercise embedded in what Dewey referred to as the participant theory of knowledge. In such contexts, the goal of the simulation is more committed to understanding than explaining, and learning is achieved through intersubjective reasoning about the construction of the model and the exploration of logical rules made manifest in the actual simulation. As a tool for inquiry, social simulation enhances our ability to think through the procedures that we both construct and expect to witness in the social world, but it is limited in what we can actually determine about the social world.",,,,"Heidelberg, Roy L. and Desai, Anand",10.1080/10841806.2015.997630,,,1084-1806,Administrative Theory & Praxis,,1,1--17,,Routledge,{Simulation Rules: The Role of Simulation in Policy Inquiry},https://doi.org/10.1080/10841806.2015.997630,37,2015
article,doi:10.1080/03075079.2024.2361831,"The global landscape and labour market are rapidly evolving in the twenty-first century, requiring individuals to adapt flexibly to new situations. Soft skills, such as problem-solving and communication skills, are becoming increasingly important for preparing students in higher education for future job opportunities. We conducted a bibliometric analysis of 4,358 research studies with the aim of guiding future research and practice. We sought to answer the following research question: What research themes involving soft skills are discussed in the literature, and what further research avenues can inform us about teaching soft skills? Given the interdisciplinary, cross-cutting nature of soft skills, we analysed research from various fields to uncover the relevance of and relationships among different soft skill topics and to identify which soft skill topics are particularly important in higher education settings. To help researchers develop a holistic approach to soft skills education, we provide a summary of existing soft skills research and identify directions for future research. In addition, we outline the evolution of keyword clusters to illuminate the future directions. This approach facilitates a deeper and more nuanced exploration of the relevant concepts. Our research supports practitioners and fosters a better understanding of the meaning of soft skills and how they can be taught in higher education, especially in digital environments.",,,,"Zahn, Eva Maria and Sch{\""{o}}bel, Sofia and Saqr, Mohammed and S{\""{o}}llner, Matthias",10.1080/03075079.2024.2361831,,,1470174X,Studies in Higher Education,"Soft skills,bibliometric study,higher education,learning,twenty-first century",0,1--21,,SRHE Website,{Mapping soft skills and further research directions for higher education: a bibliometric approach with structural topic modelling},https://doi.org/10.1080/03075079.2024.2361831,0,2024
